k,p_k,SPE,ENV,GRAFT,SEED,setup,year
4,0.0303030303030303,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,400.083333333333
1,0.456521739130435,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,450.083333333333
2,0.478260869565217,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,450.083333333333
3,0.0652173913043478,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,450.083333333333
1,0.463414634146342,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,500.083333333333
2,0.390243902439024,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,500.083333333333
3,0.121951219512195,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,500.083333333333
4,0.024390243902439,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,500.083333333333
1,0.436363636363636,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,550.083333333333
2,0.363636363636364,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,550.083333333333
3,0.181818181818182,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,550.083333333333
4,0.0181818181818182,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,550.083333333333
1,0.395348837209302,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,600
2,0.511627906976744,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,600
3,0.0697674418604651,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,600
4,0.0232558139534884,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,600
1,0.823529411764706,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,400.083333333333
2,0.176470588235294,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,400.083333333333
1,0.72,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,450.083333333333
2,0.28,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,450.083333333333
1,0.833333333333333,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,500.083333333333
2,0.133333333333333,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,500.083333333333
3,0.0333333333333333,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,500.083333333333
1,0.909090909090909,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,550.083333333333
2,0.0909090909090909,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,550.083333333333
1,0.575,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,600
2,0.225,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,600
3,0.175,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,600
4,0.025,1,0,2,18782,setup_ENV_0_GRAFT_2_SPE_1_SEED_18782,600
1,0.8,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,400.083333333333
2,0.2,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,400.083333333333
1,1,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,450.083333333333
1,1,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,500.083333333333
1,0.8,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,550.083333333333
2,0.2,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,550.083333333333
1,0.8,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,600
2,0.2,2,0,2,18782,setup_ENV_0_GRAFT_2_SPE_2_SEED_18782,600
1,0.482758620689655,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,400.083333333333
2,0.310344827586207,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,400.083333333333
3,0.206896551724138,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,400.083333333333
1,0.529411764705882,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,450.083333333333
2,0.264705882352941,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,450.083333333333
3,0.176470588235294,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,450.083333333333
4,0.0294117647058824,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,450.083333333333
1,0.552631578947369,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,500.083333333333
2,0.394736842105263,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,500.083333333333
3,0.0263157894736842,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,500.083333333333
4,0.0263157894736842,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,500.083333333333
1,0.567567567567568,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,550.083333333333
2,0.351351351351351,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,550.083333333333
3,0.0810810810810811,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,550.083333333333
1,0.6875,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,600
2,0.25,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,600
3,0.0625,0,0,3,18782,setup_ENV_0_GRAFT_3_SPE_0_SEED_18782,600
1,0.727272727272727,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,400.083333333333
2,0.272727272727273,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,400.083333333333
1,0.857142857142857,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,450.083333333333
2,0.142857142857143,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,450.083333333333
1,0.88,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,500.083333333333
2,0.12,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,500.083333333333
1,0.727272727272727,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,550.083333333333
2,0.272727272727273,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,550.083333333333
1,0.857142857142857,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,600
2,0.142857142857143,1,0,3,18782,setup_ENV_0_GRAFT_3_SPE_1_SEED_18782,600
1,0.846153846153846,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,400.083333333333
2,0.153846153846154,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,400.083333333333
1,0.8,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,450.083333333333
2,0.2,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,450.083333333333
1,0.933333333333333,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,500.083333333333
2,0.0666666666666667,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,500.083333333333
1,1,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,550.083333333333
1,0.842105263157895,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,600
2,0.157894736842105,2,0,3,18782,setup_ENV_0_GRAFT_3_SPE_2_SEED_18782,600
1,0.226415094339623,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333
2,0.509433962264151,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333
3,0.150943396226415,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333
4,0.0754716981132076,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333
5,0.0377358490566038,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333
1,0.326086956521739,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
2,0.326086956521739,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
3,0.130434782608696,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
4,0.173913043478261,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
5,0.0217391304347826,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
6,0.0217391304347826,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333
1,0.5,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,500.083333333333
2,0.222222222222222,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,500.083333333333
3,0.222222222222222,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,500.083333333333
4,0.0555555555555556,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,500.083333333333
1,0.220338983050847,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
2,0.406779661016949,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
3,0.23728813559322,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
4,0.0677966101694915,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
5,0.0508474576271187,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
6,0.0169491525423729,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333
1,0.214285714285714,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600
2,0.380952380952381,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600
3,0.333333333333333,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600
4,0.0476190476190476,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600
5,0.0238095238095238,0,1,0,18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600
1,0.789473684210526,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,400.083333333333
2,0.157894736842105,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,400.083333333333
3,0.0526315789473684,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,400.083333333333
1,0.71875,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,450.083333333333
2,0.25,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,450.083333333333
3,0.03125,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,450.083333333333
1,0.730769230769231,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,500.083333333333
2,0.230769230769231,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,500.083333333333
3,0.0384615384615385,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,500.083333333333
1,0.5,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,550.083333333333
2,0.357142857142857,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,550.083333333333
3,0.0714285714285714,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,550.083333333333
4,0.0714285714285714,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,550.083333333333
1,0.615384615384615,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,600
2,0.384615384615385,1,1,0,18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,600
1,0.652173913043478,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,400.083333333333
2,0.304347826086957,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,400.083333333333
3,0.0434782608695652,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,400.083333333333
1,0.857142857142857,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,450.083333333333
2,0.142857142857143,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,450.083333333333
1,0.692307692307692,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,500.083333333333
2,0.230769230769231,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,500.083333333333
3,0.0769230769230769,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,500.083333333333
1,0.705882352941177,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,550.083333333333
2,0.294117647058824,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,550.083333333333
1,0.842105263157895,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,600
2,0.157894736842105,2,1,0,18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,600
1,0.388888888888889,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,400.083333333333
2,0.333333333333333,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,400.083333333333
3,0.111111111111111,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,400.083333333333
4,0.166666666666667,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,400.083333333333
1,0.580645161290323,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,450.083333333333
2,0.387096774193548,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,450.083333333333
4,0.032258064516129,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,450.083333333333
1,0.276595744680851,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
2,0.446808510638298,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
3,0.170212765957447,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
4,0.0638297872340426,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
5,0.0212765957446809,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
6,0.0212765957446809,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,500.083333333333
1,0.326086956521739,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,550.083333333333
2,0.369565217391304,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,550.083333333333
3,0.239130434782609,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,550.083333333333
4,0.0217391304347826,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,550.083333333333
6,0.0217391304347826,0,1,1,18782,setup_ENV_1_GRAFT_1_SPE_0_SEED_18782,550.083333333333
