setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_14,0.917381461986629,0.917381461986629,1,gID_50,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_15,0.654323039494575,0.654323039494575,1,gID_52,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_17,1.04575890799375,1.04575890799375,1,gID_58,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_2,4.51757937739733,4.51757937739733,1,gID_20,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_3,3.28415228701336,3.28415228701336,1,gID_8,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_6,1.28262850476335,1.28262850476335,1,gID_13,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_7,2.48281456720791,2.48281456720791,1,gID_23,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_8,1.16157664733298,1.16157664733298,1,gID_25,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,3,2,gID_11,1.6407459936615,2.16831002805012,1,gID_37,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,3,2,gID_4,3.89528395468901,4.18445228203086,1,gID_10,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,3,2,gID_5,4.02972488800078,4.11735580640289,1,gID_17,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,3,3,gID_18,0.683953941641391,0.746359444496165,1.5,gID_64,18782,2,0,0
